20311223,1860
13122102,1840
3222202123,1860
331030,1880
102331020333,1840
0322211213,-1130
2310110233,-1040
0113203002,-1010
10113113,1920
20321233,1840
1131,1860
3321011123,-1010
3230201113,-1040
1120103002320313,-1020
31011123,-1040
230111022213,-1040
031312,1880
10303122,1860
3120301132,1900
12312132,-1130
20330102,-1010
3011200212,-1020
211331223233,1920
21201001022233,-1010
310212,1880
21103031,1920
221021311223,-1130
202231,1900
2110220313,1920
3130021323,1880
222120300203,1900
3231100103,-1010
0113112223,-1010
0310,1900
0312303123,-1030
2003301222,1900
03102011021323,-1040
2322201131,-1040
31221032,1860
0131203203,-1010
2110011122,-1010
031110311223,1920
23333011310203,-1040
01113021310203,-1010
01102021313213,-1010
22230313,1820
03211222,1900
33312023,1840
202201113133,-1010
11300223,1880
332012,1840
0220011203,-1010
0221303112223203,1880
3012103113,1880
0321103012,1900
100313,1900
10022021,1940
3302203022,1820
02321323,-1150
11031002,-1020
02031013,-1020
330311213223,-1040
3113,1880
31021003,1840
210212,1940
0210300122,-1010
12231113,-1040
311011,-1040
12022131,1940
3111203233,1860
011011,-1010
230120,1920
101120012133,-1010
330301213223,-1010
32032011,-1040
2120,1900
3303201232,1820
2321103002,-1020
01303203,-1010
113201022223,-1010
1032211213,-1150
21223132,1900
2202013112,-1010
23110222031333,-1020
01333103,-1010
231030,1860
211031223223,1920
12302132,1900
03312021121333,-1130
221001110212,-1010
032022,1860
2033213102,-1070
13300203,1800
132102,1880
032210111233,-1030
301012,1920
33121113,-1040
2332100233,-1020
2012310232,1920
22102013,1900
